"state","year","quarter","total_insurance_transactions","total_insurance_amount"
"andaman-&-nicobar-islands",2020,2,"6","1360"
"andaman-&-nicobar-islands",2020,3,"41","15380"
"andaman-&-nicobar-islands",2020,4,"124","157975"
"andaman-&-nicobar-islands",2021,1,"225","244266"
"andaman-&-nicobar-islands",2021,2,"137","181504"
"andaman-&-nicobar-islands",2021,3,"230","305235"
"andaman-&-nicobar-islands",2021,4,"757","1056380"
"andaman-&-nicobar-islands",2022,1,"768","1131287"
"andaman-&-nicobar-islands",2022,2,"501","779740"
"andaman-&-nicobar-islands",2022,3,"643","902466"
"andaman-&-nicobar-islands",2022,4,"901","1441210"
"andaman-&-nicobar-islands",2023,1,"1004","1439198"
"andaman-&-nicobar-islands",2023,2,"768","1233395"
"andaman-&-nicobar-islands",2023,3,"795","1251145"
"andaman-&-nicobar-islands",2023,4,"1145","1757821"
"andaman-&-nicobar-islands",2024,1,"1371","1964556"
"andaman-&-nicobar-islands",2024,2,"1097","1744694"
"andaman-&-nicobar-islands",2024,3,"1191","1752800"
"andaman-&-nicobar-islands",2024,4,"1293","2026380"
"andhra-pradesh",2020,2,"22104","3982391"
"andhra-pradesh",2020,3,"49812","12426481"
"andhra-pradesh",2020,4,"21464","12985632"
"andhra-pradesh",2021,1,"22105","12749874"
"andhra-pradesh",2021,2,"33205","22730687"
"andhra-pradesh",2021,3,"23075","19914338"
"andhra-pradesh",2021,4,"25423","31610335"
"andhra-pradesh",2022,1,"29954","42648157"
"andhra-pradesh",2022,2,"32185","41708072"
"andhra-pradesh",2022,3,"39301","48791931"
"andhra-pradesh",2022,4,"44329","58043239"
"andhra-pradesh",2023,1,"34920","51963355"
"andhra-pradesh",2023,2,"36376","52067478"
"andhra-pradesh",2023,3,"43150","57802396"
"andhra-pradesh",2023,4,"41798","62342423"
"andhra-pradesh",2024,1,"46582","63563802"
"andhra-pradesh",2024,2,"42547","62948281"
"andhra-pradesh",2024,3,"48014","73915199"
"andhra-pradesh",2024,4,"61425","80028914"
"arunachal-pradesh",2020,2,"65","14329"
"arunachal-pradesh",2020,3,"135","39687"
"arunachal-pradesh",2020,4,"125","84247"
"arunachal-pradesh",2021,1,"194","131611"
"arunachal-pradesh",2021,2,"204","224928"
"arunachal-pradesh",2021,3,"212","371051"
"arunachal-pradesh",2021,4,"320","598459"
"arunachal-pradesh",2022,1,"355","894107"
"arunachal-pradesh",2022,2,"564","1360231"
"arunachal-pradesh",2022,3,"510","1300304"
"arunachal-pradesh",2022,4,"613","1464572"
"arunachal-pradesh",2023,1,"606","1747475"
"arunachal-pradesh",2023,2,"696","2095988"
"arunachal-pradesh",2023,3,"718","1904786"
"arunachal-pradesh",2023,4,"809","2105408"
"arunachal-pradesh",2024,1,"1100","2419700"
"arunachal-pradesh",2024,2,"1147","2353015"
"arunachal-pradesh",2024,3,"842","1951385"
"arunachal-pradesh",2024,4,"999","2359472"
"assam",2020,2,"978","210034"
"assam",2020,3,"2206","599450"
"assam",2020,4,"2413","1806801"
"assam",2021,1,"3167","2334419"
"assam",2021,2,"3265","3008122"
"assam",2021,3,"4495","6010865"
"assam",2021,4,"8622","13962068"
"assam",2022,1,"16230","27447766"
"assam",2022,2,"9228","15357811"
"assam",2022,3,"14149","22543564"
"assam",2022,4,"18826","29239168"
"assam",2023,1,"22100","36963888"
"assam",2023,2,"16475","28368139"
"assam",2023,3,"22593","35618158"
"assam",2023,4,"23168","38731734"
"assam",2024,1,"33097","48107248"
"assam",2024,2,"22368","34796603"
"assam",2024,3,"17633","31388971"
"assam",2024,4,"21805","35336229"
"bihar",2020,2,"2816","595621"
"bihar",2020,3,"9733","2161102"
"bihar",2020,4,"9913","7860932"
"bihar",2021,1,"12554","8796619"
"bihar",2021,2,"14301","13301581"
"bihar",2021,3,"18030","18234941"
"bihar",2021,4,"22456","27313813"
"bihar",2022,1,"20253","27755736"
"bihar",2022,2,"21892","28212833"
"bihar",2022,3,"28511","34704251"
"bihar",2022,4,"33895","43914519"
"bihar",2023,1,"26929","38746711"
"bihar",2023,2,"29212","40354886"
"bihar",2023,3,"36550","45832355"
"bihar",2023,4,"41447","57624322"
"bihar",2024,1,"51592","63844442"
"bihar",2024,2,"49101","65285065"
"bihar",2024,3,"44745","62777286"
"bihar",2024,4,"62662","83739800"
"chandigarh",2020,2,"149","29537"
"chandigarh",2020,3,"264","70969"
"chandigarh",2020,4,"200","153341"
"chandigarh",2021,1,"338","238576"
"chandigarh",2021,2,"378","310943"
"chandigarh",2021,3,"494","469634"
"chandigarh",2021,4,"710","835813"
"chandigarh",2022,1,"792","1150932"
"chandigarh",2022,2,"1330","1874959"
"chandigarh",2022,3,"1533","1998439"
"chandigarh",2022,4,"1403","2024528"
"chandigarh",2023,1,"1520","2415574"
"chandigarh",2023,2,"1704","2501107"
"chandigarh",2023,3,"1883","2660630"
"chandigarh",2023,4,"1767","3053934"
"chandigarh",2024,1,"1730","3143984"
"chandigarh",2024,2,"1798","3177315"
"chandigarh",2024,3,"1991","3445738"
"chandigarh",2024,4,"2095","3729932"
"chhattisgarh",2020,2,"1346","279005"
"chhattisgarh",2020,3,"4702","1393656"
"chhattisgarh",2020,4,"3757","2249901"
"chhattisgarh",2021,1,"4712","2620468"
"chhattisgarh",2021,2,"5055","3813417"
"chhattisgarh",2021,3,"4676","3568837"
"chhattisgarh",2021,4,"6029","8229039"
"chhattisgarh",2022,1,"6612","10139190"
"chhattisgarh",2022,2,"7008","10119964"
"chhattisgarh",2022,3,"8849","12119470"
"chhattisgarh",2022,4,"11994","18137856"
"chhattisgarh",2023,1,"10460","16577191"
"chhattisgarh",2023,2,"10514","16389610"
"chhattisgarh",2023,3,"11927","17838382"
"chhattisgarh",2023,4,"17300","29704673"
"chhattisgarh",2024,1,"19579","30083259"
"chhattisgarh",2024,2,"15724","25935743"
"chhattisgarh",2024,3,"16550","27724060"
"chhattisgarh",2024,4,"22723","37421165"
"dadra-&-nagar-haveli-&-daman-&-diu",2020,2,"651","101029"
"dadra-&-nagar-haveli-&-daman-&-diu",2020,3,"257","65504"
"dadra-&-nagar-haveli-&-daman-&-diu",2020,4,"232","149513"
"dadra-&-nagar-haveli-&-daman-&-diu",2021,1,"467","285691"
"dadra-&-nagar-haveli-&-daman-&-diu",2021,2,"368","275638"
"dadra-&-nagar-haveli-&-daman-&-diu",2021,3,"360","273596"
"dadra-&-nagar-haveli-&-daman-&-diu",2021,4,"421","425384"
"dadra-&-nagar-haveli-&-daman-&-diu",2022,1,"493","720741"
"dadra-&-nagar-haveli-&-daman-&-diu",2022,2,"438","686857"
"dadra-&-nagar-haveli-&-daman-&-diu",2022,3,"707","983776"
"dadra-&-nagar-haveli-&-daman-&-diu",2022,4,"871","1272628"
"dadra-&-nagar-haveli-&-daman-&-diu",2023,1,"799","1215168"
"dadra-&-nagar-haveli-&-daman-&-diu",2023,2,"694","1058753"
"dadra-&-nagar-haveli-&-daman-&-diu",2023,3,"969","1333103"
"dadra-&-nagar-haveli-&-daman-&-diu",2023,4,"1207","1973867"
"dadra-&-nagar-haveli-&-daman-&-diu",2024,1,"1295","1908509"
"dadra-&-nagar-haveli-&-daman-&-diu",2024,2,"1008","1367259"
"dadra-&-nagar-haveli-&-daman-&-diu",2024,3,"1052","1602869"
"dadra-&-nagar-haveli-&-daman-&-diu",2024,4,"1503","2292529"
"delhi",2020,2,"11716","1897480"
"delhi",2020,3,"7588","1927285"
"delhi",2020,4,"9725","8045442"
"delhi",2021,1,"12822","9655261"
"delhi",2021,2,"13292","10840929"
"delhi",2021,3,"16679","15007079"
"delhi",2021,4,"34251","36578331"
"delhi",2022,1,"28232","35442069"
"delhi",2022,2,"26378","31787281"
"delhi",2022,3,"35944","41570160"
"delhi",2022,4,"48908","60603173"
"delhi",2023,1,"45821","61040038"
"delhi",2023,2,"41358","54951108"
"delhi",2023,3,"47113","58878500"
"delhi",2023,4,"56336","77332401"
"delhi",2024,1,"53050","76232346"
"delhi",2024,2,"46189","68046072"
"delhi",2024,3,"49150","71139489"
"delhi",2024,4,"67962","94390728"
"goa",2020,2,"341","71100"
"goa",2020,3,"683","196864"
"goa",2020,4,"614","682364"
"goa",2021,1,"879","827384"
"goa",2021,2,"1016","1028339"
"goa",2021,3,"1214","1385986"
"goa",2021,4,"2087","2737316"
"goa",2022,1,"2634","3865245"
"goa",2022,2,"3524","5093510"
"goa",2022,3,"3157","4142108"
"goa",2022,4,"4388","6190669"
"goa",2023,1,"4097","5859549"
"goa",2023,2,"4166","5930801"
"goa",2023,3,"3927","5646054"
"goa",2023,4,"4883","7411001"
"goa",2024,1,"5225","7528093"
"goa",2024,2,"5021","7178558"
"goa",2024,3,"5354","8051690"
"goa",2024,4,"6662","9903374"
"gujarat",2020,2,"7697","1430591"
"gujarat",2020,3,"12525","3335812"
"gujarat",2020,4,"9990","6055037"
"gujarat",2021,1,"12673","7288104"
"gujarat",2021,2,"14676","10263998"
"gujarat",2021,3,"15348","12341903"
"gujarat",2021,4,"19142","23282921"
"gujarat",2022,1,"22221","29953433"
"gujarat",2022,2,"25381","32090965"
"gujarat",2022,3,"31302","37557227"
"gujarat",2022,4,"36418","50629325"
"gujarat",2023,1,"32600","46937694"
"gujarat",2023,2,"32484","46254095"
"gujarat",2023,3,"51049","65768085"
"gujarat",2023,4,"41128","66735446"
"gujarat",2024,1,"44665","62633910"
"gujarat",2024,2,"44007","63866463"
"gujarat",2024,3,"46763","70950327"
"gujarat",2024,4,"62526","91858105"
"haryana",2020,2,"6321","1179814"
"haryana",2020,3,"7139","1884868"
"haryana",2020,4,"8283","5974278"
"haryana",2021,1,"11038","7297880"
"haryana",2021,2,"12516","11272453"
"haryana",2021,3,"14163","13215898"
"haryana",2021,4,"19489","25885838"
"haryana",2022,1,"22783","32526943"
"haryana",2022,2,"25352","33759068"
"haryana",2022,3,"35346","45402800"
"haryana",2022,4,"37971","56627115"
"haryana",2023,1,"37287","61127194"
"haryana",2023,2,"40710","62186066"
"haryana",2023,3,"42815","61782311"
"haryana",2023,4,"47506","80747159"
"haryana",2024,1,"50391","81816509"
"haryana",2024,2,"46085","74779879"
"haryana",2024,3,"49735","79198642"
"haryana",2024,4,"58808","94316512"
"himachal-pradesh",2020,2,"392","77936"
"himachal-pradesh",2020,3,"531","165559"
"himachal-pradesh",2020,4,"710","630966"
"himachal-pradesh",2021,1,"1064","906492"
"himachal-pradesh",2021,2,"1210","1402338"
"himachal-pradesh",2021,3,"1759","2444545"
"himachal-pradesh",2021,4,"2474","4667661"
"himachal-pradesh",2022,1,"2768","5234739"
"himachal-pradesh",2022,2,"2831","5371078"
"himachal-pradesh",2022,3,"3641","6161692"
"himachal-pradesh",2022,4,"4565","9060436"
"himachal-pradesh",2023,1,"3909","7826133"
"himachal-pradesh",2023,2,"4197","8499425"
"himachal-pradesh",2023,3,"3935","7869767"
"himachal-pradesh",2023,4,"5211","11898824"
"himachal-pradesh",2024,1,"5430","10433254"
"himachal-pradesh",2024,2,"5194","10008705"
"himachal-pradesh",2024,3,"5272","10538999"
"himachal-pradesh",2024,4,"6697","14090523"
"jammu-&-kashmir",2020,2,"206","48484"
"jammu-&-kashmir",2020,3,"441","133339"
"jammu-&-kashmir",2020,4,"647","734861"
"jammu-&-kashmir",2021,1,"1105","1546288"
"jammu-&-kashmir",2021,2,"1197","1832089"
"jammu-&-kashmir",2021,3,"1452","2139133"
"jammu-&-kashmir",2021,4,"3113","5223317"
"jammu-&-kashmir",2022,1,"3584","7244267"
"jammu-&-kashmir",2022,2,"4071","7729792"
"jammu-&-kashmir",2022,3,"4794","8281826"
"jammu-&-kashmir",2022,4,"5031","10111183"
"jammu-&-kashmir",2023,1,"4555","10275877"
"jammu-&-kashmir",2023,2,"5262","10974839"
"jammu-&-kashmir",2023,3,"5453","10975874"
"jammu-&-kashmir",2023,4,"6264","13932309"
"jammu-&-kashmir",2024,1,"7313","14695182"
"jammu-&-kashmir",2024,2,"7397","14237707"
"jammu-&-kashmir",2024,3,"7597","15554635"
"jammu-&-kashmir",2024,4,"8893","18252110"
"jharkhand",2020,2,"2063","405031"
"jharkhand",2020,3,"5368","1349934"
"jharkhand",2020,4,"3659","2857024"
"jharkhand",2021,1,"4879","3274851"
"jharkhand",2021,2,"5180","5084230"
"jharkhand",2021,3,"6794","7046048"
"jharkhand",2021,4,"8465","11190423"
"jharkhand",2022,1,"9373","13819466"
"jharkhand",2022,2,"9477","13464840"
"jharkhand",2022,3,"14388","18156857"
"jharkhand",2022,4,"16779","23147805"
"jharkhand",2023,1,"16108","23823406"
"jharkhand",2023,2,"16662","23216215"
"jharkhand",2023,3,"19478","25165702"
"jharkhand",2023,4,"22398","33484644"
"jharkhand",2024,1,"24824","34332990"
"jharkhand",2024,2,"22224","32245129"
"jharkhand",2024,3,"23629","34353146"
"jharkhand",2024,4,"29079","42253614"
"karnataka",2020,2,"27358","4794150"
"karnataka",2020,3,"53701","12407394"
"karnataka",2020,4,"31747","26814968"
"karnataka",2021,1,"37595","30183325"
"karnataka",2021,2,"40969","39501006"
"karnataka",2021,3,"47468","48078366"
"karnataka",2021,4,"74436","90723288"
"karnataka",2022,1,"95640","130733580"
"karnataka",2022,2,"93385","123228632"
"karnataka",2022,3,"110273","144605784"
"karnataka",2022,4,"133971","185063287"
"karnataka",2023,1,"127376","186543426"
"karnataka",2023,2,"117232","175704013"
"karnataka",2023,3,"139699","199448538"
"karnataka",2023,4,"156076","248056311"
"karnataka",2024,1,"169357","264708700"
"karnataka",2024,2,"142599","239304982"
"karnataka",2024,3,"174990","287393291"
"karnataka",2024,4,"183532","305861806"
"kerala",2020,2,"1588","360216"
"kerala",2020,3,"8811","2830361"
"kerala",2020,4,"5479","4445525"
"kerala",2021,1,"5731","5040506"
"kerala",2021,2,"9530","9676588"
"kerala",2021,3,"10926","13255646"
"kerala",2021,4,"19199","31260319"
"kerala",2022,1,"37110","64172190"
"kerala",2022,2,"35667","59920203"
"kerala",2022,3,"54587","85390924"
"kerala",2022,4,"65563","103982997"
"kerala",2023,1,"62377","101786828"
"kerala",2023,2,"61032","100620604"
"kerala",2023,3,"66059","110021582"
"kerala",2023,4,"73543","121905046"
"kerala",2024,1,"73106","115101791"
"kerala",2024,2,"65271","108142369"
"kerala",2024,3,"79123","131721699"
"kerala",2024,4,"89533","144083113"
"ladakh",2020,2,"14","2538"
"ladakh",2020,3,"33","10260"
