"state","year","quarter","total_transactions","total_amount"
"ladakh",2021,2,"399716","1427259095.4703174"
"ladakh",2021,3,"590987","2213984743.93459"
"ladakh",2021,4,"630187","2153535138.7802677"
"ladakh",2022,1,"630015","2025040918.8422096"
"ladakh",2022,2,"1118073","3543318177.9962664"
"ladakh",2022,3,"1190858","3605199350.373912"
"ladakh",2022,4,"1083372","2894477572.6789374"
"ladakh",2023,1,"1567246","3849021298.0"
"ladakh",2023,2,"2943815","7191103886.0"
"ladakh",2023,3,"3621366","8250572243.0"
"ladakh",2023,4,"3150218","6942986945.0"
"ladakh",2024,1,"2987101","6085390661.0"
"ladakh",2024,2,"5327359","10125723348.0"
"ladakh",2024,3,"6913885","12652871712.0"
"ladakh",2024,4,"5711284","10854417654.0"
"lakshadweep",2018,1,"778","1928611.1808777403"
"lakshadweep",2018,2,"2132","6187809.539400538"
"lakshadweep",2018,3,"1703","4339032.3119858485"
"lakshadweep",2018,4,"1642","4463213.698222831"
"lakshadweep",2019,1,"2481","8786130.479338994"
"lakshadweep",2019,2,"2926","9242524.13698889"
"lakshadweep",2019,3,"3104","9651761.463768471"
"lakshadweep",2019,4,"3765","11269913.40492385"
"lakshadweep",2020,1,"5151","13502368.57450421"
"lakshadweep",2020,2,"7220","16942922.08594439"
"lakshadweep",2020,3,"8589","21306833.308656827"
"lakshadweep",2020,4,"11650","30111317.917080387"
"lakshadweep",2021,1,"9085","27042782.914081153"
"lakshadweep",2021,2,"11384","27383463.657951534"
"lakshadweep",2021,3,"13370","38803163.698768154"
"lakshadweep",2021,4,"15470","50998185.528381005"
"lakshadweep",2022,1,"16397","54939432.65393007"
"lakshadweep",2022,2,"17569","55929601.98990567"
"lakshadweep",2022,3,"15241","47580009.61750026"
"lakshadweep",2022,4,"17147","54813873.614936255"
"lakshadweep",2023,1,"29520","85321961.0"
"lakshadweep",2023,2,"34918","97987438.0"
"lakshadweep",2023,3,"43757","94527061.0"
"lakshadweep",2023,4,"63479","119831383.0"
"lakshadweep",2024,1,"81176","130052381.0"
"lakshadweep",2024,2,"109085","146212841.0"
"lakshadweep",2024,3,"157478","192408087.0"
"lakshadweep",2024,4,"197777","247756681.0"
"madhya pradesh",2018,1,"8025395","8681603403.446348"
"madhya pradesh",2018,2,"10561412","15924081066.680986"
"madhya pradesh",2018,3,"17126985","24149742204.67322"
"madhya pradesh",2018,4,"21397555","33905608072.964783"
"madhya pradesh",2019,1,"37301049","48070279522.04201"
"madhya pradesh",2019,2,"40846013","68334566380.56182"
"madhya pradesh",2019,3,"53610411","77676321491.22867"
"madhya pradesh",2019,4,"68131989","104687926790.86589"
"madhya pradesh",2020,1,"79366746","126737281436.18526"
"madhya pradesh",2020,2,"76340573","147922015289.08447"
"madhya pradesh",2020,3,"108579881","205701679984.53757"
"madhya pradesh",2020,4,"153652541","284275139772.3589"
"madhya pradesh",2021,1,"201998498","343533954382.3015"
"madhya pradesh",2021,2,"223314680","425500768035.631"
"madhya pradesh",2021,3,"311443334","504412603851.499"
"madhya pradesh",2021,4,"404308084","656887492404.479"
"madhya pradesh",2022,1,"472703058","747665139599.6421"
"madhya pradesh",2022,2,"544899829","867024737328.533"
"madhya pradesh",2022,3,"731259559","1032908494249.5833"
"madhya pradesh",2022,4,"898828268","1302999857548.291"
"madhya pradesh",2023,1,"734566970","1062026599901.0"
"madhya pradesh",2023,2,"848037060","1202440949508.0"
"madhya pradesh",2023,3,"978812593","1237821998249.0"
"madhya pradesh",2023,4,"1102294613","1426502880687.0"
"madhya pradesh",2024,1,"1286156614","1625420229864.0"
"madhya pradesh",2024,2,"1435472057","1779679946627.0"
"madhya pradesh",2024,3,"1537738457","1761082466531.0"
"madhya pradesh",2024,4,"1685401835","2003305068845.0"
"maharashtra",2018,1,"16387034","21711613257.725674"
"maharashtra",2018,2,"22285740","36357057241.12254"
"maharashtra",2018,3,"31538538","52260817733.24835"
"maharashtra",2018,4,"46090223","79518937047.82959"
"maharashtra",2019,1,"75079069","111420690920.33997"
"maharashtra",2019,2,"101149853","153294470088.05945"
"maharashtra",2019,3,"148735581","199617506744.94272"
"maharashtra",2019,4,"201260620","272994428799.5649"
"maharashtra",2020,1,"238944081","319995196718.0683"
"maharashtra",2020,2,"184790761","296359517159.41614"
"maharashtra",2020,3,"268310924","440307079012.4761"
"maharashtra",2020,4,"407621004","622155530832.2585"
"maharashtra",2021,1,"517860240","769887352153.2483"
"maharashtra",2021,2,"573616486","915115055623.7152"
"maharashtra",2021,3,"792874060","1159257305167.4517"
"maharashtra",2021,4,"1010731502","1475358473128.29"
"maharashtra",2022,1,"1169506438","1681399273981.1614"
"maharashtra",2022,2,"1407533113","2006272382175.94"
"maharashtra",2022,3,"1486389417","1947579187374.532"
"maharashtra",2022,4,"1688775272","2210470839617.1724"
"maharashtra",2023,1,"1848268499","2362285906059.0"
"maharashtra",2023,2,"2063717848","2606004606468.0"
"maharashtra",2023,3,"2290678587","2752172184241.0"
"maharashtra",2023,4,"2572162725","3098014934958.0"
"maharashtra",2024,1,"2835770481","3372898894856.0"
"maharashtra",2024,2,"3063494802","3573189333587.0"
"maharashtra",2024,3,"3287403995","3687268662139.0"
"maharashtra",2024,4,"3634231839","4151028450887.0"
"manipur",2018,1,"84069","128046173.93020926"
"manipur",2018,2,"151721","253209721.319494"
"manipur",2018,3,"189258","383331244.79412293"
"manipur",2018,4,"236110","605683559.3060112"
"manipur",2019,1,"265409","659898060.4240801"
"manipur",2019,2,"257425","722789942.1495004"
"manipur",2019,3,"345008","863552002.562933"
"manipur",2019,4,"449344","1200897682.088641"
"manipur",2020,1,"818801","2598590380.8769474"
"manipur",2020,2,"1083068","3198936212.8055243"
"manipur",2020,3,"1420168","4615976120.870485"
"manipur",2020,4,"1627852","5602224558.458768"
"manipur",2021,1,"2303535","7070287514.479244"
"manipur",2021,2,"3086275","7889827962.396657"
"manipur",2021,3,"3941396","10406861028.904892"
"manipur",2021,4,"4687439","12658472038.211857"
"manipur",2022,1,"5313679","14144501078.373814"
"manipur",2022,2,"6105632","14922910635.149328"
"manipur",2022,3,"6352742","15381430267.299776"
"manipur",2022,4,"6428670","15625956698.341496"
"manipur",2023,1,"3258383","8585564092.0"
"manipur",2023,2,"1606271","4463876653.0"
"manipur",2023,3,"865478","3608286601.0"
"manipur",2023,4,"2113200","6800325298.0"
"manipur",2024,1,"3845564","9242973323.0"
"manipur",2024,2,"5063324","10898000793.0"
"manipur",2024,3,"5700096","11671516831.0"
"manipur",2024,4,"5750423","12061708556.0"
"meghalaya",2018,1,"49571","66250259.78990036"
"meghalaya",2018,2,"67857","117004667.8418316"
"meghalaya",2018,3,"110290","209853661.53439403"
"meghalaya",2018,4,"161132","337585679.00467324"
"meghalaya",2019,1,"208741","399037162.15343595"
"meghalaya",2019,2,"232286","492931289.1072781"
"meghalaya",2019,3,"306550","612218602.153532"
"meghalaya",2019,4,"365981","742436471.7902198"
"meghalaya",2020,1,"502283","1120134840.9078057"
"meghalaya",2020,2,"635395","1153735154.3383913"
"meghalaya",2020,3,"597579","1237059001.3830369"
"meghalaya",2020,4,"754008","1804242572.1989727"
"meghalaya",2021,1,"747646","2055515277.9898345"
"meghalaya",2021,2,"909594","2193617254.8905916"
"meghalaya",2021,3,"1097731","2769000451.527979"
"meghalaya",2021,4,"1440193","3848765400.1861496"
"meghalaya",2022,1,"1674750","4662338331.33188"
"meghalaya",2022,2,"2044649","5281491421.884784"
"meghalaya",2022,3,"4359165","9603300797.121542"
"meghalaya",2022,4,"3932448","8996541156.34871"
"meghalaya",2023,1,"4164705","10084840615.0"
"meghalaya",2023,2,"5077212","11084506486.0"
"meghalaya",2023,3,"6029842","11406633080.0"
"meghalaya",2023,4,"7268384","13873058692.0"
"meghalaya",2024,1,"8531262","15629304658.0"
"meghalaya",2024,2,"11089661","16794614094.0"
"meghalaya",2024,3,"12110124","16292956696.0"
"meghalaya",2024,4,"14166380","19674927433.0"
"mizoram",2018,1,"18561","45227219.975790836"
"mizoram",2018,2,"27051","83508405.55773437"
"mizoram",2018,3,"39316","116600738.12539022"
"mizoram",2018,4,"55242","190426852.52952954"
"mizoram",2019,1,"70306","218160895.39740258"
"mizoram",2019,2,"75671","248016708.13501447"
"mizoram",2019,3,"98094","278793899.9513421"
"mizoram",2019,4,"125239","368689350.6344881"
"mizoram",2020,1,"153609","392077579.3496374"
"mizoram",2020,2,"198462","457193433.4423174"
"mizoram",2020,3,"254703","707944175.5046022"
"mizoram",2020,4,"322607","986522115.6939572"
"mizoram",2021,1,"329575","1101105586.9459367"
"mizoram",2021,2,"394340","1122874473.3020918"
"mizoram",2021,3,"478529","1473748650.2119522"
"mizoram",2021,4,"553329","1770665741.5230405"
"mizoram",2022,1,"604917","1945158963.6112473"
"mizoram",2022,2,"643977","2003186567.1089382"
"mizoram",2022,3,"659038","1946265612.067956"
"mizoram",2022,4,"693774","2037911085.2630136"
"mizoram",2023,1,"1052595","2955622739.0"
"mizoram",2023,2,"1208930","3191806576.0"
"mizoram",2023,3,"1310413","3106130235.0"
"mizoram",2023,4,"1500728","3540840283.0"
"mizoram",2024,1,"1627016","3630096730.0"
"mizoram",2024,2,"1977079","3798477640.0"
"mizoram",2024,3,"2360206","3923888231.0"
"mizoram",2024,4,"2702443","4461162922.0"
"nagaland",2018,1,"42845","78005891.08612517"
"nagaland",2018,2,"65599","153325577.88030174"
"nagaland",2018,3,"94371","241792742.9366532"
"nagaland",2018,4,"139333","388013467.5456239"
"nagaland",2019,1,"168579","441941712.41233104"
"nagaland",2019,2,"188753","520066682.1585048"
"nagaland",2019,3,"261878","650956471.7134112"
"nagaland",2019,4,"317170","834537138.3487777"
"nagaland",2020,1,"378051","894780028.7343724"
"nagaland",2020,2,"517566","1137674504.3478017"
"nagaland",2020,3,"736319","2009649143.1547942"
"nagaland",2020,4,"847825","2773084870.5627017"
"nagaland",2021,1,"975897","3107450484.613187"
"nagaland",2021,2,"1130791","3156293963.781851"
"nagaland",2021,3,"1356792","3987416848.005447"
"nagaland",2021,4,"1631483","4939083784.136465"
"nagaland",2022,1,"1925952","5544951708.895753"
"nagaland",2022,2,"2031329","5740285349.020275"
"nagaland",2022,3,"1894113","5364400495.050829"
"nagaland",2022,4,"2476205","6969966384.314047"
"nagaland",2023,1,"2685570","7814397854.0"
"nagaland",2023,2,"2922001","8021399310.0"
"nagaland",2023,3,"3422331","8616299673.0"
"nagaland",2023,4,"3797179","9674575422.0"
"nagaland",2024,1,"4258924","10044915308.0"
"nagaland",2024,2,"5598700","11012913096.0"
"nagaland",2024,3,"6981635","12281315168.0"
"nagaland",2024,4,"7921552","13959098676.0"
"odisha",2018,1,"5809821","4627632210.887628"
"odisha",2018,2,"8158144","8488310339.620239"
"odisha",2018,3,"30052155","23094515775.585766"
"odisha",2018,4,"21142798","23429869571.55922"
"odisha",2019,1,"34031942","35427127930.698456"
"odisha",2019,2,"29512024","44754854871.67608"
"odisha",2019,3,"41422272","57304577359.217094"
"odisha",2019,4,"64995633","79769373632.04843"
"odisha",2020,1,"53682307","91956798199.33679"
"odisha",2020,2,"50028576","91733036612.10583"
"odisha",2020,3,"66033829","122463943804.29193"
"odisha",2020,4,"92324950","178302663014.6175"
"odisha",2021,1,"111460358","213397736188.33783"
"odisha",2021,2,"131824337","245864117477.27853"
"odisha",2021,3,"177362674","303780718933.0267"
"odisha",2021,4,"233925366","385251049689.91846"
"odisha",2022,1,"263633499","451227311779.7898"
"odisha",2022,2,"313451598","510035012340.00885"
"odisha",2022,3,"386687326","564545557340.5428"
"odisha",2022,4,"445714743","652217064523.9851"
"odisha",2023,1,"482896088","753968977663.0"
"odisha",2023,2,"544597829","799332054104.0"
"odisha",2023,3,"622397603","840298338124.0"
"odisha",2023,4,"732137476","978791865637.0"
"odisha",2024,1,"864178452","1156388722536.0"
"odisha",2024,2,"944027735","1164839284001.0"
"odisha",2024,3,"1023940349","1177233944634.0"
"odisha",2024,4,"1143097568","1305457593239.0"
"puducherry",2018,1,"104212","165825971.36983618"
"puducherry",2018,2,"130261","285801119.5324367"
"puducherry",2018,3,"190271","417658075.4942067"
"puducherry",2018,4,"307964","625691665.4234949"
"puducherry",2019,1,"501092","906473024.3065231"
"puducherry",2019,2,"580077","1211446910.127807"
"puducherry",2019,3,"716826","1460708357.4554102"
"puducherry",2019,4,"1012655","1932028317.878899"
"puducherry",2020,1,"1207921","2205277477.079584"
"puducherry",2020,2,"1033383","1960030980.4875922"
"puducherry",2020,3,"1730902","3598080229.434597"
"puducherry",2020,4,"2716003","4930526217.671207"
"puducherry",2021,1,"3309432","5899309571.743641"
"puducherry",2021,2,"3751387","6498834696.543897"
"puducherry",2021,3,"5121726","8729974431.01447"
"puducherry",2021,4,"6368810","10423651801.230518"
"puducherry",2022,1,"7359176","12083474905.386654"
"puducherry",2022,2,"8643687","13778745255.768896"
"puducherry",2022,3,"7042727","10854317711.140945"
"puducherry",2022,4,"7556127","11142204877.174492"
"puducherry",2023,1,"10144295","14222388506.0"
"puducherry",2023,2,"11130326","15386733257.0"
"puducherry",2023,3,"12379641","16444491839.0"
"puducherry",2023,4,"12986163","17024510550.0"
"puducherry",2024,1,"13446950","17386481977.0"
"puducherry",2024,2,"14564895","18242009736.0"
"puducherry",2024,3,"16008711","19535004396.0"
"puducherry",2024,4,"16559677","19965392547.0"
"punjab",2018,1,"1870433","2780758224.854389"
"punjab",2018,2,"2581163","4684672212.007125"
"punjab",2018,3,"3462108","7065687043.821184"
"punjab",2018,4,"4887137","10781982573.649624"
"punjab",2019,1,"7172137","13574490001.853222"
"punjab",2019,2,"8509830","18614793394.772213"
"punjab",2019,3,"10706812","22905815605.843315"
"punjab",2019,4,"13698625","29989802246.19331"
"punjab",2020,1,"15217784","31374185265.899654"
"punjab",2020,2,"14081294","30284654252.21334"
"punjab",2020,3,"17209573","40123092147.81354"
"punjab",2020,4,"22997925","53775406479.553894"
"punjab",2021,1,"26770835","58690887091.106735"
"punjab",2021,2,"32171248","69531058562.6159"
"punjab",2021,3,"42533489","85992560840.61221"
"punjab",2021,4,"52359360","110710126241.99957"
"punjab",2022,1,"57758302","118389978105.96233"
"punjab",2022,2,"72272823","137345426369.22662"
"punjab",2022,3,"84177897","149319443006.3546"
"punjab",2022,4,"91835180","168107427177.94028"
"punjab",2023,1,"96910821","175508676860.0"
"punjab",2023,2,"117290289","194181575454.0"
"punjab",2023,3,"132161181","205225582737.0"
"punjab",2023,4,"142228995","231139462165.0"
"punjab",2024,1,"142537179","223303420322.0"
"punjab",2024,2,"171946137","244435036984.0"
"punjab",2024,3,"187554720","256116156529.0"
"punjab",2024,4,"199509220","289125652032.0"
"rajasthan",2018,1,"7591690","8926293130.726837"
"rajasthan",2018,2,"9973697","15559086175.75962"
"rajasthan",2018,3,"14257098","24040768671.212967"
"rajasthan",2018,4,"20959723","37909087083.33885"
"rajasthan",2019,1,"43956040","61141158575.55252"
"rajasthan",2019,2,"50009286","89107313172.66756"
"rajasthan",2019,3,"67303617","112468290031.92343"
"rajasthan",2019,4,"85074242","159452410049.68317"
"rajasthan",2020,1,"102258812","190308238561.00217"
"rajasthan",2020,2,"101954656","193763273003.28284"
"rajasthan",2020,3,"149088676","293678306162.4698"
"rajasthan",2020,4,"190283435","386034779836.48376"
"rajasthan",2021,1,"252730919","491492581657.63354"
"rajasthan",2021,2,"287477039","561702765169.2324"
"rajasthan",2021,3,"400284753","710511328542.4896"
"rajasthan",2021,4,"487621597","903934418544.2667"
"rajasthan",2022,1,"564962220","1022050180980.1362"
"rajasthan",2022,2,"661170150","1152833518600.3425"
"rajasthan",2022,3,"767541360","1238489256318.2175"
"rajasthan",2022,4,"865574848","1456956699398.6523"
"rajasthan",2023,1,"921096686","1554913375850.0"
"rajasthan",2023,2,"1073459338","1698455586300.0"
"rajasthan",2023,3,"1237232167","1800225443616.0"
"rajasthan",2023,4,"1349472154","2066379607801.0"
"rajasthan",2024,1,"1599474007","2350500173790.0"
"rajasthan",2024,2,"1818855106","2497094537924.0"
"rajasthan",2024,3,"1935405035","2472257715905.0"
"rajasthan",2024,4,"2043469547","2793049371408.0"
"sikkim",2018,1,"44078","64650938.94036834"
"sikkim",2018,2,"74578","143693085.52979562"
"sikkim",2018,3,"108500","235080226.95331776"
"sikkim",2018,4,"154533","383141358.07825375"
"sikkim",2019,1,"240287","457993634.3840939"
"sikkim",2019,2,"388244","738894243.4359412"
"sikkim",2019,3,"552436","884716448.4404289"
"sikkim",2019,4,"767070","1176509601.6562185"
"sikkim",2020,1,"528118","1053476271.9444009"
"sikkim",2020,2,"517731","1054618788.2612653"
"sikkim",2020,3,"596435","1400926728.6603994"
"sikkim",2020,4,"735035","1919275805.122922"
"sikkim",2021,1,"800189","2217667726.8407273"
"sikkim",2021,2,"976714","2424899579.6753"
"sikkim",2021,3,"1160594","2989336863.8083954"
"sikkim",2021,4,"1584345","4196783261.6358047"
"sikkim",2022,1,"1744302","4367431275.863418"
"sikkim",2022,2,"2322081","5611105670.307129"
"sikkim",2022,3,"2396758","5162880543.891459"
"sikkim",2022,4,"3058339","6458385389.419817"
"sikkim",2023,1,"3396128","6762568022.0"
"sikkim",2023,2,"4412967","8580350436.0"
"sikkim",2023,3,"4804937","8107237421.0"
"sikkim",2023,4,"4857324","8590608471.0"
"sikkim",2024,1,"5820146","9455721523.0"
"sikkim",2024,2,"7188322","11296518155.0"
"sikkim",2024,3,"7713781","10569829072.0"
"sikkim",2024,4,"8916870","12641101398.0"
"tamil nadu",2018,1,"6726622","11261557697.516891"
"tamil nadu",2018,2,"9992128","20125844276.267662"
"tamil nadu",2018,3,"15774078","29330092241.18405"
"tamil nadu",2018,4,"22457444","43302073975.890976"
"tamil nadu",2019,1,"32275045","56204036816.128555"
"tamil nadu",2019,2,"32171737","64207676025.75553"
"tamil nadu",2019,3,"41410183","78959604643.63503"
"tamil nadu",2019,4,"56596411","103190865512.53719"
"tamil nadu",2020,1,"66953473","116569686179.4346"
"tamil nadu",2020,2,"51870110","95826508896.84135"
"tamil nadu",2020,3,"70277825","143841415498.65747"
"tamil nadu",2020,4,"111179701","206473197500.99268"
"tamil nadu",2021,1,"136556674","248668143873.65317"
"tamil nadu",2021,2,"146158442","263487341026.54623"
"tamil nadu",2021,3,"204357404","365207323053.92737"
"tamil nadu",2021,4,"259155976","443723952594.79407"
"tamil nadu",2022,1,"294573150","512789201600.61597"
"tamil nadu",2022,2,"354506937","590134727678.3616"
"tamil nadu",2022,3,"393496175","631879220373.2378"
"tamil nadu",2022,4,"436316636","675689667591.437"
"tamil nadu",2023,1,"461212387","715583673518.0"
"tamil nadu",2023,2,"498429638","776362551015.0"
"tamil nadu",2023,3,"556085008","833105264698.0"
"tamil nadu",2023,4,"593481381","872870665005.0"
"tamil nadu",2024,1,"640327197","913861111062.0"
"tamil nadu",2024,2,"705083686","985151149866.0"
"tamil nadu",2024,3,"778536701","1050779594821.0"
"tamil nadu",2024,4,"820423888","1087632875606.0"
"telangana",2018,1,"8522766","13308204118.542435"
"telangana",2018,2,"10764670","23017201517.652737"
"telangana",2018,3,"19332703","32030093209.72354"
"telangana",2018,4,"28921154","49509088448.04927"
"telangana",2019,1,"65290702","95523262035.66321"
"telangana",2019,2,"89610379","155676443182.43457"
"telangana",2019,3,"121495376","201930021130.42365"
"telangana",2019,4,"163572258","280746765547.7425"
"telangana",2020,1,"199409525","371343780368.2118"
"telangana",2020,2,"152055143","321531839352.4224"
"telangana",2020,3,"236372126","505961144755.88367"
"telangana",2020,4,"343643787","696350439226.9453"
"telangana",2021,1,"412572110","799359264046.5657"
"telangana",2021,2,"495867544","1027958332797.5902"
"telangana",2021,3,"622886768","1178289126292.262"
"telangana",2021,4,"775989773","1463758189500.9146"
"telangana",2022,1,"886453385","1670638169828.999"
"telangana",2022,2,"1063382557","1951414544517.1062"
"telangana",2022,3,"1628165401","2706325865752.0645"
"telangana",2022,4,"1819506832","2978252562916.1367"
"telangana",2023,1,"1440331458","2372581734284.0"
"telangana",2023,2,"1665430971","2698149935008.0"
"telangana",2023,3,"1875045924","2870202901073.0"
"telangana",2023,4,"2020822178","3116417474765.0"
"telangana",2024,1,"2179385307","3203769301073.0"
"telangana",2024,2,"2417264357","3461542433312.0"
"telangana",2024,3,"2610137835","3551316976598.0"
"telangana",2024,4,"2822451603","3859050535418.0"
"tripura",2018,1,"148157","137978914.53062224"
"tripura",2018,2,"214559","236891718.7161358"
"tripura",2018,3,"377703","453863388.04059243"
"tripura",2018,4,"448059","624885599.4644469"
"tripura",2019,1,"580926","756894941.6158216"
"tripura",2019,2,"532558","841821482.8473747"
"tripura",2019,3,"711717","1017377422.817224"
"tripura",2019,4,"801824","1215400160.2581887"
"tripura",2020,1,"924502","1588778806.3885012"
"tripura",2020,2,"1052520","1769175883.585958"
"tripura",2020,3,"1317885","2341819516.215885"
"tripura",2020,4,"1651890","3182130996.2213116"
"tripura",2021,1,"1511423","3335341569.793424"
"tripura",2021,2,"1744429","3468154361.036266"
"tripura",2021,3,"2081200","4364133768.181473"
"tripura",2021,4,"2520693","5496929464.299448"
"tripura",2022,1,"2871190","6247329764.349836"
"tripura",2022,2,"3418664","6878271042.0352955"
"tripura",2022,3,"4256579","8648352804.91115"
"tripura",2022,4,"5198190","10452971818.154081"
"tripura",2023,1,"7118687","13288282891.0"
"tripura",2023,2,"7929543","13919130082.0"
"tripura",2023,3,"9108762","15249223330.0"
"tripura",2023,4,"10140910","16819896794.0"
"tripura",2024,1,"11042639","17752189374.0"
"tripura",2024,2,"12787547","18137431068.0"
"tripura",2024,3,"14400581","19948846189.0"
"tripura",2024,4,"15945159","22409905268.0"
"uttar pradesh",2018,1,"12537805","13939970923.223106"
"uttar pradesh",2018,2,"17710943","25720201695.701435"
"uttar pradesh",2018,3,"26515356","37012114369.23937"
"uttar pradesh",2018,4,"36100767","55096743575.91497"
"uttar pradesh",2019,1,"57324504","76524180134.0167"
"uttar pradesh",2019,2,"58883500","98917519370.67831"
"uttar pradesh",2019,3,"68623959","111268137475.02843"
"uttar pradesh",2019,4,"86905005","145538926507.3059"
"uttar pradesh",2020,1,"97239132","172416434960.69037"
"uttar pradesh",2020,2,"100851965","178744016130.31216"
"uttar pradesh",2020,3,"127405259","248689955423.05322"
"uttar pradesh",2020,4,"178167517","357428826778.2578"
"uttar pradesh",2021,1,"204499547","396287587577.5575"
"uttar pradesh",2021,2,"241949131","482172489166.39343"
"uttar pradesh",2021,3,"306543384","557080841279.8989"
"uttar pradesh",2021,4,"406157932","773890970072.1896"
"uttar pradesh",2022,1,"473953246","883123174117.039"
"uttar pradesh",2022,2,"595298776","1067515182419.9624"
"uttar pradesh",2022,3,"703589072","1121370050898.7214"
"uttar pradesh",2022,4,"836369071","1376378802069.4858"
"uttar pradesh",2023,1,"1002557722","1636936265372.0"
"uttar pradesh",2023,2,"1211410582","1836622076526.0"
"uttar pradesh",2023,3,"1354622466","1861748362006.0"
"uttar pradesh",2023,4,"1566705382","2257441161652.0"
"uttar pradesh",2024,1,"1785296948","2477543106639.0"
"uttar pradesh",2024,2,"2135538658","2704223360067.0"
"uttar pradesh",2024,3,"2285955833","2717475205234.0"
"uttar pradesh",2024,4,"2544890265","3214106522459.0"
"uttarakhand",2018,1,"1246685","1508545358.5238864"
"uttarakhand",2018,2,"1704122","2679755378.5510764"
"uttarakhand",2018,3,"2229132","3726573039.8585143"
"uttarakhand",2018,4,"3178761","5654272137.963844"
"uttarakhand",2019,1,"5546001","7183529175.274033"
"uttarakhand",2019,2,"4813275","8588532850.9184885"
"uttarakhand",2019,3,"5710476","9729032070.017406"
"uttarakhand",2019,4,"7362116","12573706305.150612"
"uttarakhand",2020,1,"9131784","16158080258.987526"
"uttarakhand",2020,2,"9047770","16094187702.100985"
"uttarakhand",2020,3,"11818935","22103510968.006454"
"uttarakhand",2020,4,"17613271","31792739329.110085"
"uttarakhand",2021,1,"20608402","36288189399.89833"
"uttarakhand",2021,2,"24000432","40990817874.83847"
"uttarakhand",2021,3,"31042284","50527496783.56469"
"uttarakhand",2021,4,"40361280","66148108159.422195"
"uttarakhand",2022,1,"44560772","70978782500.07388"
"uttarakhand",2022,2,"58166878","88313371025.334"
"uttarakhand",2022,3,"63996519","92641259938.36333"
"uttarakhand",2022,4,"77983880","115496046831.35889"
"uttarakhand",2023,1,"79385675","107179907585.0"
"uttarakhand",2023,2,"102758214","134072872398.0"
"uttarakhand",2023,3,"106284687","128762398121.0"
"uttarakhand",2023,4,"118071440","148083447262.0"
"uttarakhand",2024,1,"123234577","150276835263.0"
"uttarakhand",2024,2,"158564982","180612915790.0"
"uttarakhand",2024,3,"159278815","173414867549.0"
"uttarakhand",2024,4,"171136132","194908790959.0"
"west bengal",2018,1,"11710225","10625978552.140453"
"west bengal",2018,2,"18082446","18629183470.204285"
"west bengal",2018,3,"53705416","41843934183.177635"
"west bengal",2018,4,"36513548","40489619211.70402"
"west bengal",2019,1,"47626388","50164672623.87851"
"west bengal",2019,2,"47023535","57105691119.11844"
"west bengal",2019,3,"66444829","70540532616.82985"
"west bengal",2019,4,"96805838","88203610254.64601"
"west bengal",2020,1,"66250381","96653305190.9406"
"west bengal",2020,2,"57676797","100099431877.35757"
"west bengal",2020,3,"79954504","156813355855.1383"
"west bengal",2020,4,"100340645","199165491365.6468"
"west bengal",2021,1,"118254052","242937207475.5198"
"west bengal",2021,2,"141897437","279434811058.5615"
"west bengal",2021,3,"181712988","362457066256.5059"
"west bengal",2021,4,"225029560","462218037262.097"
"west bengal",2022,1,"260505092","551426663209.5653"
"west bengal",2022,2,"315742141","648575179584.2422"
"west bengal",2022,3,"356792388","704749898612.1294"
"west bengal",2022,4,"405847597","787775633607.248"
"west bengal",2023,1,"459278344","896883182555.0"
"west bengal",2023,2,"545317686","1009315106972.0"
"west bengal",2023,3,"632093191","1071548606382.0"
"west bengal",2023,4,"737953238","1249394976078.0"
"west bengal",2024,1,"836408587","1422025506833.0"
"west bengal",2024,2,"980480707","1547343815564.0"
"west bengal",2024,3,"1084916445","1607643782237.0"
"west bengal",2024,4,"1227135682","1810100029406.0"
